Temperature,Pressure,Humidity,Sunshine,Wind Speed,Wind Direction,VOC,Noise,CO2,CH2O,O3,PM1 ,PM2.5,PM10,SO2,CO,NO2
8.727005942,96851.32929,33.55351154,8.072435931,11.43991757,141.7087873,665.8441064,32.32796728,804.1875468,182.7156023,118.3558374,55.63790334,101.602885,195.3771747,15.61038932,5.046735413,10.83630571
37.53571532,100419.0095,32.22809192,9.560176766,16.10864659,170.4368374,213.767044,41.20635169,781.0981031,105.0720964,106.5445079,18.10038806,21.20455977,23.09113832,17.97436553,7.492793048,10.06273026
26.59969709,103729.4584,91.56291225,3.005614786,15.2032186,307.6370616,878.7748352,79.87474831,367.0279391,144.9820544,61.08463463,61.16807605,43.9261736,190.5772976,99.53618852,5.670401128,99.73005755
19.93292421,102322.2489,32.45915799,7.498489195,3.077998094,122.401579,632.4604271,76.00610138,945.8006834,87.20965959,186.1073343,34.90463425,118.3151085,86.36193629,75.60640342,0.924695573,15.56580395
-2.199067978,103065.6115,34.47547535,6.860951798,2.984989395,313.0738865,199.3436894,51.03856149,697.9305415,126.0069155,148.2210065,9.973132847,84.01601952,21.8162729,119.6102113,1.937244344,195.1611852
-2.200273983,101587.8337,78.34584362,9.993964521,5.363487355,31.72839515,964.2211546,52.60863767,554.6078648,68.11518748,261.0532878,95.12233498,139.9156687,144.0483017,137.8592714,2.271349022,52.19238316
-7.095819392,101922.7656,50.47658582,10.87304473,7.221494527,279.6474374,542.4471902,62.01326601,829.5770084,60.23180396,19.31177834,65.94158506,70.02519717,196.4972547,61.31319726,2.652856111,99.80629858
33.30880729,103491.9565,79.90395013,0.145881258,8.169111628,305.1171479,119.2535293,30.01446028,480.1558209,115.6459572,196.721699,88.30729853,131.7737312,193.8126301,91.47945385,5.69749358,21.6161497
20.05575059,97496.68009,15.88295418,8.088239029,13.59394434,65.45435502,645.4912592,44.47466016,785.4568859,99.62593484,231.2551748,69.22532048,72.85376125,48.96866202,77.60101103,5.08926122,109.1891991
25.40362889,99894.24964,53.88140743,0.622029589,1.133608643,154.9247517,290.5389617,42.49390852,327.7978453,115.9072738,230.2511051,38.91345075,147.094759,52.62460509,147.3335451,2.11128438,82.19166378
